genename	refseq
MANSC1	NM_018050
MANSC1	NM_001363613
BORCS5	NM_058169
BORCS5	NM_001300742
BORCS5	NM_001330356
DUSP16	NM_030640
ZKSCAN7	NM_001288590
ZKSCAN7	NM_001288591
ZKSCAN7	NM_025169
ZKSCAN7	NM_018651
ZKSCAN7	NM_001288592
ZNF660	NM_173658
ZNF197	NM_001323293
ZNF197	NM_001323295
ZNF197	NM_006991
ZNF197	NM_001323296
ZNF197	NM_001024855
ZNF197	NM_001323294
ZNF197	NM_001351735
ZNF197	NM_001351734
ZNF197	NM_001351733
ZNF197	NM_001351732
ZNF35	NM_003420
ZNF502	NM_033210
ZNF502	NM_001282880
ZNF502	NM_001134440
ZNF502	NM_001134441
ZNF502	NM_001134442
ZNF501	NM_145044
ZNF501	NM_001258280
KIAA1143	NM_020696
KIAA1143	NM_001320334
KIF15	NM_020242
TMEM42	NM_144638
TGM4	NM_003241
ZNF852	NM_001287349
ACTG1	NM_001614
ACTG1	NM_001199954
BAHCC1	NM_001377448
BAHCC1	NM_001291324
ITGA9	NM_002207
ECSCR	NM_001293739
ECSCR	NM_001077693
SMIM33	NM_001365197
STING1	NM_198282
STING1	NM_001367258
STING1	NM_001301738
ELP5	NM_203415
ELP5	NM_203413
ELP5	NM_015362
ELP5	NM_203414
CLDN7	NM_001307
CLDN7	NM_001185023
CLDN7	NM_001185022
SLC2A4	NM_001042
YBX2	NM_015982
EIF5A	NM_001143760
EIF5A	NM_001370420
EIF5A	NM_001970
EIF5A	NM_001143761
EIF5A	NM_001370421
EIF5A	NM_001143762
GPS2	NM_004489
NEURL4	NM_001005408
NEURL4	NM_032442
ACAP1	NM_014716
KCTD11	NM_001002914
KCTD11	NM_001363642
TMEM95	NM_001320435
TMEM95	NM_001320436
TMEM95	NM_198154
C1R	NM_001733
C1R	NM_001354346
C1RL	NM_001297640
C1RL	NM_016546
C1RL	NM_001297642
C1RL	NM_001297643
RBP5	NM_001329454
RBP5	NM_031491
CLSTN3	NM_014718
PEX5	NM_001131026
PEX5	NM_001351131
PEX5	NM_001351124
PEX5	NM_001351126
PEX5	NM_001374646
PEX5	NM_001374648
PEX5	NM_001374649
PEX5	NM_001351130
PEX5	NM_001351135
PEX5	NM_001351137
PEX5	NM_001351127
PEX5	NM_001351140
PEX5	NM_001351128
PEX5	NM_001351138
PEX5	NM_001131024
PEX5	NM_001351139
PEX5	NM_001374645
PEX5	NM_001131023
PEX5	NM_001374647
PEX5	NM_001131025
PEX5	NM_001300789
PEX5	NM_001351133
PEX5	NM_001351134
PEX5	NM_001351132
PEX5	NM_001351136
PEX5	NM_000319
PADI1	NM_013358
PADI3	NM_016233
PADI4	NM_012387
PADI6	NM_207421
RCC2	NM_018715
RCC2	NM_001136204
OR8U9	NM_001013357
OR8U8	NM_001013356
OR5T3	NM_001004747
OR5T2	NM_001004746
OR8K3	NM_001005202
OR8H1	NM_001005199
OR5T1	NM_001004745
OR8K1	NM_001002907
OR8J1	NM_001005205
SAA1	NM_001178006
SAA1	NM_199161
SAA1	NM_000331
HPS5	NM_007216
HPS5	NM_181507
HPS5	NM_181508
GTF2H1	NM_001142307
GTF2H1	NM_005316
LDHA	NM_001135239
LDHA	NM_001165415
LDHA	NM_005566
LDHA	NM_001165416
LDHA	NM_001165414
PARP4	NM_006437
TMPRSS15	NM_002772
MIPEP	NM_005932
KATNAL1	NM_032116
